复星医药	昊海生科	港股医美概念股拉升，瑞丽医美涨12.66%，时代天使涨6.7%，复星医药涨3.11%，康哲药业涨1.39%，昊海生科涨0.73%
水井坊	舍得酒业	白酒概念午后持续低迷，水井坊跌超5%，皇台酒业、舍得酒业、海南椰岛跟跌
中集集团	中国中车	港股机械制造板块部分走高，中国高速传动涨超15%，森松国际涨超3%，中集集团涨近3%，中国中车涨近2%
重庆钢铁	鞍钢股份	港股钢铁板块走午后高，重庆钢铁股份、鞍钢股份涨近3%，马鞍山钢铁股份跟涨
万年青	天山股份	万年青：2021 年 9 月 9 日，天山股份收到了中国证券监督管理委员会《关于核准新疆天山水泥股份有限公司向中国建材股份有限公司等发行股份购买资产并募集配套资金的批复》（证监许可〔2021〕2921 号），证监会核准天山股份向本公司发行的股份数...
中信建投	中远海控	9月14日，中信建投交运首席分析师韩军表示，短期来看，供需严重失衡导致的单边市场格局或将在较长时间内持续，各航线运价后续或仍将上涨，驱动集运公司业绩持续增长，中远海控三季度业绩超300亿是大概率事件
比亚迪	赣锋锂业	港股锂电池板块走高，比亚迪股份涨近3%，赣锋锂业、比亚迪电子、洪桥集团涨近2%
中国黄金	山东黄金	港股黄金板块走低，中国黄金国际跌近6%，坛金矿业跌近4%，山东黄金跌近3%
海螺水泥	金隅集团	港股建材板块走低，中国建材跌近4%，华润水泥控股跌超2%，海螺水泥、金隅集团跌近2%
华能国际	东方电气	港股电力板块走低，华能国际电力股份、中广核新能源跌超4%，东方电气跌超3%
鞍钢股份	洛阳玻璃	港股碳中和概念股走低，新特能源、鞍钢股份跌近6%，洛阳玻璃跌近5%
中国铝业	中国黄金	港股有色金属板块走低，中国铝业跌近5%，中国黄金国际、中国宏桥跌近4%，俄铝跌3%
闽发铝业	华峰铝业	有色冶炼加工板块走弱，闽发铝业跌近7%，华峰铝业、盛新锂能、天山铝业跟跌
南天信息	农业银行	南天信息：公司收到江苏省招标中心有限公司发来的《入围通知书》，确定公司在中国农业银行股份有限公司2021年IntelPC服务器入围项目中成为主选供应商，入围价格12.4569亿元
东杰智能	今世缘	东杰智能：公司于近日收到今世缘酒业的中标通知书，该通知书确认公司为其南厂区智能化成品酒包装物流中心物流设备系统制造安装项目中标人，合同金额共计人民币 1.32 亿元
光云科技	杭州高新	光云科技：为实施企业战略发展规划，促进在电商 SaaS 领域的战略布局，公司拟与公司拟与浙江蓝江投资管理有限公司、杭州高新创业投资有限公司、陈建、陈阳艳等人，共同设立杭州云曦二号，投资金额1亿元人民币
辽宁成大	生物股份	近日，证监会按法定程序同意以下企业科创板首次公开发行股票注册：辽宁成大生物股份有限公司、安徽巨一科技股份有限公司
能辉科技	广州发展	能辉科技：公司收到《广州发展乐昌长来60MW光伏项目EPC总承包中标通知书》，确认公司为广州发展乐昌长来60MW光伏项目EPC总承包的中标单位，中标价1.07亿元
招商南油	建设银行	招商南油：持股7.99%的股东中国建设银行股份有限公司江苏省分行拟合计减持不超过1%
陕西煤业	淮北矿业	发改委消息，9月14日，国家能源集团、中煤集团、山西焦煤集团、晋能控股集团、潞安化工集团、山东能源集团、陕西煤业化工集团、河南能源化工集团、淮北矿业集团、淮河能源控股集团、伊泰集团、蒙泰集团等12家重点煤炭企业发出联合倡议，表示将充...
中联重科	中国重汽	港股重型机械股普跌，中联重科跌近4%，中国重汽跌近3%，第一拖拉机股份跌超2%
美格智能	中国联通	美格智能今日官微消息，近期，中国联通作为运营商物联网的领军企业，开启了联通物联网5G AIoT智能模组询价采购项目招投标，这是中国联通首次单独就智能模组这一产品品类进行专项招投标工作，也是全球运营商针对智能模组产品的“运营商历史第一标...
中联重科	中国重汽	港股重型机械股走低，铁建装备跌超4%，第一拖拉机股份跌近3%，中联重科跌超2%，中国重汽跌近2%，三一国际跟跌
君实生物	康希诺	港股生物制药板块持续走低，药明生物跌近6%，荣昌生物、君实生物、翰森制药跌近4%，康希诺生物跌近2%
中国黄金	山东黄金	港股黄金板块走高，中国黄金国际涨超6%，山东黄金涨超4%，六福集团跟涨
大豪科技	众兴菌业	白酒概念下挫走弱，大豪科技跌超3%，皇台酒业、海南椰岛、众兴菌业跟跌
联得装备	京东方	联得装备在互动平台表示，公司已经开始向京东方提供MiniLED ACF贴附&COF Punch设备、MiniLED全自动PCB绑定设备，公司提供的这些设备都有很强的市场竞争力
上海电气	陕鼓动力	近日，上海电气集团上海电机厂有限公司与西安陕鼓动力股份有限公司正式签署中俄东线天然气管道工程（永清-上海）安平-泰安段5套配套电机供货合同，再次助力这项“中俄合作世纪工程”
申通地铁	张江高科	上海申通地铁集团表示，受台风“灿都”影响，为保障市民乘客和运营安全，上海地铁根据气象部门和现场监测数据等综合研判，“灿都”台风将影响轨道交通安全运行，9月13日运营开始起，上海地铁2号线东延伸（张江高科站至浦东国际机场站）、5号线、...
科大国创	比亚迪	近日，科大国创全资子公司国创新能与比亚迪全资子公司比亚迪通号在安徽合肥签订战略合作协议
国投电力	川投能源	国投电力：拟与四川川投能源股份有限公司共同投资雅砻江流域水电开发有限公司孟底沟水电站
江特电机	国轩高科	江特电机：2021年9月12日，公司与国轩高科在江西宜春签署《战略合作框架协议》
国机汽车	华域汽车	国机汽车：全资子公司中国汽车工业工程有限公司于2021年9月13日与华域汽车车身零件（沈阳）有限公司签署《大东区二厂厂房改扩建建设项目设计施工总承包（EPC）合同》，合同价款1.31亿元
达安基因	中信证券	达安基因：近日，公司获悉参股公司安杰思及其保荐机构中信证券股份有限公司于2021年9月3日分别提交了关于撤回安杰思首次公开发行股票并在科创板上市申请文件的申请
赣锋锂业	比亚迪	港股锂电池板块走低，赣锋锂业、比亚迪电子、天能动力跌超4%，比亚迪股份跌超3%
中国铝业	紫金矿业	港股有色金属板块午后持续走高，中国铝业涨近9%，俄铝涨近8%，紫金矿业涨近4%
鲁北化工	鼎龙文化	钛白粉板块午后持续走高，鲁北化工涨超8%，天原股份、鼎龙文化、龙佰集团跟涨
石化机械	中国石化	石化机械在互动平台表示，按照中国石化的整体部署，十四五时期，中石化将建成1000座加氢站
南天信息	农业银行	南天信息：公司为“中国农业银行股份有限公司2021年IntelPC服务器入围项目”的第一中标候选人，项目金额预估12.46亿元（不含税）
中国广核	中广核技	在第九届中国（绵阳）科技城国际科技博览会举行期间，中国广核集团（简称“中广核”）所属中广核核技术发展股份有限公司（简称中广核技）首台质子治疗肿瘤设备、首台电子束处理垃圾渗滤液等多个项目落地签约
华能国际	上海电气	港股电力板块走低，中广核新能源跌近7%，华能国际电力股份跌超5%，中广核矿业跌近5%，上海电气跌近3%
中科曙光	杭州高新	中科曙光消息，近日，杭州高新区（滨江）与公司签署战略合作协议
中远海控	中远海发	港股海运板块走高，中远海控涨超6%，太平洋航运、中远海发涨超3%，东方海外国际逆市下跌近5%
盛弘股份	宁德时代	盛弘股份在乎互动平台表示，公司目前与宁德时代的合作主要是向其销售电池检测设备
露天煤业	锦州港	露天煤业在互动平台表示，公司2021年度长协合同煤炭价格严格按照环渤海及锦州港价格联动执行，随着联动上涨或下调，截止目前公司长协煤炭售价随着定价联动机制有所上涨
华数传媒	安恒信息	9月10日，华数传媒与安恒信息签署战略合作协议
瑞联新材	彤程新材	瑞联新材9月10日晚发布异动公告称，公司关于锂电池电解液添加剂的研发工作尚在进行中，存在研发失败的风险，锂电池电解液添加剂产品相关事项目前尚在内部论证中，未购买生产设备，未与任何第三方达成实际合作；公司与彤程新材关于光刻胶方面的合...
万邦达	吉林化工	万邦达：拟定增募资不超12亿元，用于吉林化工园区绿色循环经济资源综合利用项目（一期）、220m/h 兰炭废水预处理装置和配套生化处理装置及配套辅助生产设施 和2000t/年电池级碳酸锂用富锂卤水中试项目
小康股份	宁德时代	小康股份：与宁德时代于2021年9月9日签订《五年供需联动和产能保证框架协议》
鞍钢股份	中国铝业	港股钢铁板块走低，鞍钢股份跌近4%，重庆鞍钢股份跌近3%，中国铝业、马鞍山钢铁股份跟跌
中联重科	中国重汽	港股重型机械板块走高，三一国际涨超3%，中联重科涨超2%，中国重汽、中国龙工跟涨
中国铁建	时代电气	港股铁路板块走高，中国交通建设涨超3%，中国中铁、中国铁建、中车时代电气涨近2%
露天煤业	锦州港	露天煤业9月9日在互动平台表示，公司2021年度长协合同煤炭价格严格按照环渤海及锦州港价格联动执行，随着联动上涨或下调，截止目前公司长协煤炭售价随着定价联动机制也有所上涨
东方电气	华能国际	港股电力板块走低，龙源电力跌超5%，东方电气、中广核矿业跌超3%，华能国际电力股份跌近3%
青岛港	日照港	9月9日，山东港口青岛港、日照港、物流集团分别与安通控股股份有限公司签署深化战略合作框架协议
复旦微电	中国电信	上交所：复旦微电、中国电信被纳入沪股通名单，，ST凯乐被移出沪股通名单
歌尔股份	招商证券	歌尔股份今日出现24.97亿元折价大宗交易，成交价每股47.03元，招商证券潍坊北海路接盘
中青宝	中信证券	中青宝再度大涨14%，盘后数据显示，中信证券上海溧阳路买入3500万元，华福证券厦门嘉禾路买入2347万元
晨曦航空	光启技术	国防军工板块异动拉升，中航西飞、晨曦航空、光启技术、广联航空等个股拉升
君实生物	康希诺	港股生物制药板块走低，康方生物、启明医疗跌超5%，君实生物跌超3%，康希诺生物跌超2%
数字认证	奇安信	据数字认证官微消息，近日，北京数字认证股份有限公司正式通过 “商用密码证书可信计划”审核，成为国内首家通过奇安信、麒麟、统信联合认证信任的CA厂商
广汽集团	长城汽车	港股汽车板块走低，恒大汽车跌超11%领跌港股汽车股，广汽集团跌近5%，长城汽车跌近4%，吉利汽车跌超1%
中远海发	中远海控	港股海运板块走高，太平洋航运涨近5%，东方海外国际、中远海发涨近3%，海丰国际涨近2%，中远海控跟涨
上海电气	华能国际	港股电力板块走高，中广核矿业涨超10%，龙源电力涨超6%，上海电气、中广核新能源涨超3%，华能国际电力股份涨近3%
共达电声	电声股份	深交所公告，共达电声股份有限公司拟筹划控制权变更事项，公司股票于9月8日开市起临时停牌，待公司通过指定媒体披露相关公告后复牌
瑞达期货	厦门银行	2021年9月7日，瑞达期货股份有限公司与厦门银行股份有限公司签署战略合作协议
浙商证券	天风证券	浙商证券首席经济学家李超、天风证券固定收益首席分析师孙彬彬等...
海通证券	光电股份	海通证券：因公司在开展西南药业股份有限公司（现奥瑞德光电股份有限公司）财务顾问业务的持续督导工作期间未勤勉尽责，涉嫌违法违规，证监会决定对公司进行立案并调查相关情况
歌尔股份	方正证券	歌尔股份今日出现2.55亿元折价大宗交易，成交价每股47.27元，方正证券新昌鼓山西路卖出，机构接盘
中国重汽	中联重科	港股重型机械股走弱，中国重汽跌超5%，中国龙工跌超3%，中联重科、三一国际跌近3%
复星医药	君实生物	港股医药股普遍走低，启明医疗跌超4%，微创医疗跌超3%，复星医药、君实生物、金斯瑞生物科技跌超2%
正元地信	正元智慧	正元地信在互动平台表示，正元智慧城市时空大数据云平台V1.0于2020年7月13日正式通过基于鲲鹏芯片的华为TaiShan 服务器技术兼容性认证
中信证券	比亚迪	中信证券指出，2021年8月比亚迪新能源汽车销量6.14万辆，同比+302%，环比+22%，略超预期
中信建投	平安银行	中信建投9月7日研报指出，平安银行高管主动增持，有力表态看好公司发展前景和长期价值，向市场传递积极信号
中信建投	华夏幸福	针对近期市场出于集团因素对银行层面的担忧，中信建投重申，华夏幸福敞口很小且已充分计提，代理人清虚并未影响绩优人力，综合金融业...
科士达	宁德时代	科士达：拟以自有资金6778.4万元收购宁德时代持有的时代科士达31%股权
东方生物	连云港	东方生物9月7日晚间公告，合计持股6.2%的股东上海祥禾、上海涌创、连云港涌诚拟通过集中竞价、大宗交易方式，合计减持公司股份不超744.49万股（公司股份总数的6.2%）
广电运通	建设银行	近日，广电运通中标中国建设银行甘肃分行“2021年蓝梦住房租赁信息服务大厅”项目，该项目是继广电运通与广东省建行联合打造全国首家数字住房“5G+智能银行”项目后，承建的又一个住房租赁主题网点建设项目，同时也是广电运通倾力打造的“银发关...
中国能建	葛洲坝	9月7日，由中国能建葛洲坝机电公司承建的白鹤滩水电站右岸13号百万千瓦机组首次充水启动一次成功，标志着白鹤滩水电站又一台百万千瓦机组进入发电倒计时
苏大维格	天禄科技	苏大维格在互动平台表示，公司在MiniLED显示领域布局了MiniLED背光电极薄膜等相关技术，目前处于进一步研发阶段，同行业厂商主要有亿光源、天禄科技、BrightView等；公司控股子公司苏州维业达触控科技有限公司与华为在中大尺寸电容触控领域保持...
比亚迪	广汽集团	港股汽车板块走高，比亚迪、广汽集团涨超5%，东风集团、吉利汽车、北京汽车跟涨
中国铁建	中国中车	港股铁路板块走高，中国铁建涨超4%，中国中铁、中国交通建设涨近3%，中国中车跟涨
金科环境	隆基股份	近日金科环境披露，已与光伏行业龙头隆基股份签署合作框架协议
奥克股份	宁德时代	日前，奥克股份锂电溶剂通过宁德时代溶剂二级供应商认证，标志着这一产品正式进入锂电池龙头企业供应链体系
药明康德	君实生物	港股制药板块异动拉升，启明医疗涨超6%，药明康德涨超5%，百济神州涨超3%，君实生物涨近3%
中国铁建	海螺水泥	港股建筑工程板块开盘走高，中国能源建设涨近3%，中国中铁、中国铁建涨超2%，中国建材涨超4%，华润水泥控股涨超3%，海螺水泥涨近3%
天津港	中国石化	日前，天津港保税区管委会与中国石化销售股份有限公司天津石油分公司、轻程（上海）物联网科技有限公司签署合作协议，共同组建中石化氢能源（天津）有限公司，发挥各方在产业、资源、场景、政策方面的综合优势，深耕氢燃料电池汽车、加氢站建设...
南山控股	滨江集团	在此“空当期”，一些房企在没有实行集中出让政策的地区进行“补货”，有的企业“补货”金额较大，如南山控股、滨江集团
华夏幸福	中国平安	而陷入华夏幸福债务事件，则给中国平安提供了再次全面客观审...
宁德时代	亿纬锂能	据报道，宝马下了价值超200亿欧元（约238亿美元/约1536亿人民币）电池订单，远高于此前的120亿欧元并接近翻倍，增加的电池订单分别交给了宁德时代、亿纬锂能、韩国的三星SDI和瑞典的Northvolt
东南网架	福斯特	东南网架：与杭州市萧山经济技术开发区管委会签署《投资协议书》，拟在萧经开建设东南网架福斯特碳中和总部经济中心，致力于在党政机关、学校、医院、会展中心、体育场馆、综合体、产业园区等公共建筑，工商业厂房和农居等屋顶分布式光伏电站项...
中钢国际	重庆钢铁	中钢国际：全资子公司中钢设备拟择机出售重庆钢铁股票，截至披露日，中钢设备持有重庆钢铁股票 6700 万股，市值约 1.91 亿元，约占公司最近一期经审计净资产的 3.38%
正元智慧	中国银行	日前，西南财经大学发布通知，正式启动数字人民币校园支付场景应用，标志着正元智慧与中国银行携手打造的数字人民币场景应用正式落地
中联重科	中国重汽	港股重型机械板块午后走强，中联重科涨6%，三一国际涨近3%，第一拖拉机股份涨近2%，中国重汽跟涨
中国太保	中国人寿	港股内险板块午后走高，中国太保、中国财险涨近4%，中国人寿、中国人民保险集团跟涨
中国石油	辽河油田	记者从中国石油辽河油田获悉，8月30日，在兴隆台采油厂双229-36-62井，辽河油田启动双229块沙一段CCUS-EOR（二氧化碳驱油）先导试验
显盈科技	纽威数控	其中，创业板新股显盈科技具有“肉签”潜质，科创板新股纽威数控属于工业母机概念...
中国中车	时代电气	中国中车公告，下属间接控股子公司株洲中车时代电气股份有限将于9月7日在上海证券交易所科创板上市
宝钢股份	包钢股份	9月3日，宝钢股份与包钢股份在包头签订央地结对协作协议和钢管产业委托管理协议
宝钢股份	包钢股份	宝钢股份党委书记、董事长邹继新表示，宝钢股份与包钢股份签署央地结对协作协议，是双方前期合作的进一步拓展和深化，将为双方全方位深层次合作创造更大的价值空...
国元证券	中泰证券	据统计，开源证券、国元证券、中泰证券分...
山东路桥	山东高速	山东路桥：子公司山东省路桥集团有限公司、山东高速工程建设集团有限公司、山东省公路桥梁建设集团有限公司、山东高速畅通路桥工程有限公司分别以独立中标或组成联合体中标的方式被确定为临淄至临沂高速公路工程施工项目施工一至四标段中标人，...
中国动力	中国船舶	据中国动力官微消息，截至今年8月底，中国船舶集团旗下中国动力子公司中国船柴的高压SCR脱硝设备累计实船订单突破百台
华能国际	大唐发电	港股电力板块表现活跃，龙源电力涨超9%，华能国际电力股份涨超8%，中广核新能源涨超7%，中广核电力涨超6%，大唐发电涨近6%
中信建投	申万宏源	中信建投研报点评北京证券交易所设立：无论持续督导/做市的新三板挂牌公司数量来看，还是从主办券商的执业质量评价来看，申万宏源都是排行上市券商第一，可从北京证券交易所的设立中受益最多
华能国际	大唐发电	港股电力板块持续走高，华能国际电力股份、龙源电力涨超6%，中国核能源涨近4%，大唐发电涨超3%
上海电气	中国太保	上海电气消息，9月1日，上海电气集团党委书记、董事长冷伟青与到访的中国太保集团党委书记、董事长孔庆伟举行会晤，双方就多领域加深合作达成共识
高乐股份	海通证券	高乐股份：收到公司大股东普宁市新鸿辉实业投资有限公司的通知，因其在海通证券的股票质押合约已到期待购回，新鸿辉实业于2021年9月2日与赖星宇及海通证券签订《股份转让协议》，对上述股票质押采用协议转让方式进行处置，新鸿辉实业通过协议转...
国电电力	京能电力	近日，大唐国际、北京国电电力、京能电力、华能集团华北分公司等11家燃煤发电企业联名给北京...
佳都科技	白云电器	9月3日，广州大湾区轨道交通产业投资集团有限公司正式挂牌成立，注册资本为50亿元，由广州工控集团、佳都科技、白云电器等9家广州本土企业共同出资设立
能辉科技	广州发展	能辉科技：预计中标广州发展乐昌长来 60MW 光伏项目 EPC 总承包项目，投标价1.1亿元
杭可科技	比亚迪	杭可科技：收到比亚迪股份有限公司通过电子邮件发送的中标通知书，合计中标锂电设备 5.22 亿元人民币（不含税）
金隅集团	冀东水泥	金隅集团在互动平台表示，雄安新区目前已进入全面建设阶段，对水泥需求保持相对稳定，年度整体需求500万吨-700万吨，公司控股子公司冀东水泥在雄安新区重点工程的中标率在90%以上，整体上看在该区域的市场份额在70%以上
赣锋锂业	比亚迪	港股锂电池板块走低，赣锋锂业跌超6%，比亚迪股份跌超3%
长城汽车	比亚迪	部分港股汽车股午后跌幅扩大，长城汽车跌近4%，比亚迪股份、五菱汽车、吉利汽车跌超2%，小鹏汽车跌近2%
八一钢铁	太钢不锈	钢铁板块回暖，八一钢铁涨停，太钢不锈涨超7%
延安必康	国泰君安	延安必康获国泰君安等机构调研
通宇通讯	中国联通	据通宇通讯官微，9月2日，中国联通公示天线集中采购结果，广东通宇通讯股份有限公司中标金额为7031.82万元
金风科技	福莱特	港股碳中和概念股拉升，金风科技涨超10%，新特能源涨近9%，华润电力涨近7%，福莱特玻璃涨超4%
中国中车	中国铁建	港股铁路概念板块持续走高，中国交通建设、中国中铁涨超3%，中国中车、中国铁建涨超1%
长荣股份	海目星	据长荣股份官方微信消息，在长荣集团和海目星研发、技术、工艺等团队的密切协作下，按照设备采购客户提出的技术标准和工艺要求，由长荣集团承接的首台套海目星锂电生产配套设备于9月1日顺利完成交付
中信建投	长安汽车	中信建投指出，长安汽车21H1营收高增速主要系销量持续增长（1-6月自主品牌销量96万辆，同比+53.5%），总体来看，公司利润增速大于营收增速，营收增速大于销量增速，处于健康发展状态
中信建投	隆基股份	中信建投指出，隆基股份上半年公司硅片及组件出货均保持市场第一的位置，并且组件市占率进一步提升
万科A	国信证券	万科A连续两日出现溢价大宗交易，今日成交6.45亿元，卖出方仍为机构，国信证券深圳红岭中路再次接盘
包钢股份	北方稀土	包钢股份9月2日晚间公告，截至9月1日，控股股东的控股子公司北方稀土增持公司股份2.63亿股，占公司总股份的0.577%；增持金额8亿元
兖州煤业	中煤能源	港股煤炭股延续近日强势，首钢资源涨近8%，兖州煤业涨7%，易大宗涨近5%，蒙古焦煤涨超4%，中煤能源涨近3%
福莱特	洛阳玻璃	港股光伏太阳能板块走高，新特能源涨近10%，福莱特玻璃涨超6%，协合新能源、洛阳玻璃涨超5%，彩虹新能源涨超4%，信义能源涨超3%，信义光能涨近2%
圣阳股份	南都电源	中国移动年度高功率铅酸蓄电池集中采购中标候选人公布，圣阳股份，南都电源分别中标份额13.04%，15.94%
西藏矿业	兆新股份	盐湖提锂板块走强，西藏矿业涨超9%，兆新股份涨近8%
西藏城投	西藏珠峰	盐湖股份、西藏城投、西藏珠峰等跟涨
联合光电	长城汽车	联合光电在接受调研时表示，公司已通过ISO/TS16949:2016认证，并正逐步通过下游模组厂商向广汽本田、长城汽车、上海通用、海南马自达、奇瑞汽车等整车厂商推广
建设银行	农业银行	据记者了解，中国建设银行首席财务官张毅已到中国农业银行报到，出任农行党委委员
农业银行	建设银行	同时，中国农业银行贵州省分行行长李运已到建设银行报到，出任建行党委委员
紫光国微	恒宝股份	据悉，2021年中国国际服务贸易交易会金融服务专题展将于9月3日至7日在北京首钢园举办，展会期间，丰台区与数研所将联合六大行及蚂蚁、腾讯、京东、华为、紫光国微、华大电子、恒宝股份等机构联...
中金公司	东方财富	该项出售始于2021年上半年，字节跳动已先后与中金公司、中信、复星集团、牛股王、东方财富等进行过沟通
万科A	国信证券	万科A今日出现47.7亿元溢价大宗交易，成交价每股21元，机构卖出，国信证券深圳红岭中路接盘
伟明环保	盛运环保	伟明环保9月1日晚间公告，公司作为盛运环保系公司重整投资人的正式入选单位，拟以不超过7亿元重整投资盛运环保转增后总股本51%的股份，并通过盛运环保控制其下属7家子公司
恒立实业	华阳集团	恒立实业9月1日晚间公告，第一大股东华阳投资的母公司华阳集团被申请破产，目前法院已受理并处在指定管理人阶段
中国铁建	中国中车	港股铁路板块走高，中国交通建设涨近10%，中国中铁涨超8%，中国铁建涨超6%，中国中车涨超近5%
中联重科	中国重汽	港股重型机械板块午后持续走高，中联重科、中国中铁涨超8%，中国龙工涨近3%，中国重汽、第一拖拉机股份涨超1%
中国铁建	东方园林	中国铁建与东方园林在矿山生态修复、生态环境治理、循环经济产业园等领域具有广阔的合作空间，双方可以有效利用自身资源，充分发挥各...
中信建投	比亚迪	中信建投指出，21H1比亚迪实现营收908.85亿元，同比+50.22%，汽车、手机、电池三大业务收入均实现同比增长
富吉瑞	同益中	证监会按法定程序同意以下企业科创板首次公开发行股票注册：北京富吉瑞光电科技股份有限公司、北京同益中新材料科技股份有限公司、精进电动科技股份有限公司
京能电力	昊华能源	京能电力：北京证监局对时任北京昊华能源股份有限公司董事长耿养谋，因涉嫌信息披露违法违规，拟做出处罚
哈尔斯	航天科技	哈尔斯：与上海埃依斯航天科技有限公司签订了为期 2 年的品牌合作合同，双方将在本次合作中，共同促进航天产业商业化及其文化产业创新发展，推广和传播航天文化
中信建投	中远海控	中信建投：预计中远海控2021/2022/2023年营业收入分别为2892亿元、2687亿元、2624亿元，同比增长68.9%、-7.1%、-2.3%，净利润分别实现958亿元、765亿元、613亿元，同比增长865%、-20%、-20%
东方通	东方通信	东方通信：国资委将公司实际控制人中国普天的全部股权无偿划转至中国电科，导致中国电科间接控制公司43.44%股份，公司实际控制人由中国普天变更为中国电科
宁德时代	亿纬锂能	特斯拉已经开始在国内寻找4680大圆柱电池的合作厂商，除了原有的电池供应商宁德时代和LG化学，特斯拉洽谈的大圆柱电池公司还包括了亿纬锂能等
中国石油	中国石化	中国石油、中国石化一举扭亏，中国海油净利润同比大增221%
中信建投	五粮液	中信建投指出，五粮液系列酒聚焦战略成果显著，产品方面上半年销量1.62万吨（+7.22%），吨价153.27万元/吨（+9.37%），吨价提升一方面系经典五粮液顺利导入，优化产品结构，另一方面系直销占比提升
赣锋锂业	中国石油	港股收评，恒指今日午后震荡走高，收涨0.52%，报25539.54点；恒生科技指数收涨1.09%，报6391.17点；有色板块涨幅居前，赣锋锂业涨超7%，五矿资源涨超6%；石油板块走高，中国石油化工股份、中国石油股份涨超4%，昆仑能源涨近4%，中国海洋石油等跟...
中国石油	中国石化	港股中国石油化工股份涨超5%，中国石化称预计今年新发展加氢站数量将达100座
东方通	东方通信	东方通信：2021年上半年实现净利润5022万元，同比增长39.20%
隆基股份	五粮液	本周北向资金对725只股票的持股数增加，对818只股票进行了减仓，其中对隆基股份加仓金额最大，对五粮液减仓金额最大
汇川技术	宁德时代	汇川技术在互动平台表示，公司通过合作伙伴为宁德时代间接提供产品
同花顺	小康股份	指数早盘震荡反弹，创业板指一度涨近1%，石油矿业、通用设备、同花顺漂亮100等多板块活跃，汽车整车涨幅居前，小康股份盘中封板，工业母机再受资金追捧，储能、国防军工板块成下跌主力军，两市个股跌多涨少，炸板率中性，赚钱效应较弱
厦门钨业	章源钨业	厦门钨业：仲钨酸铵16.7万元/吨，较上半月报价下调2000元/吨；章源钨业：黑钨精矿（WO3≥55%）11.05万元/标吨，较上半月报价下调1000元/标吨；白钨精矿（WO3≥55%）10.90万元/标吨，较上半月报价下调1000元/标吨；仲钨酸铵（国标零级）16.80万元...
潞安环能	中煤能源	煤炭概念开盘下挫，辽宁能源跌超7%，山西焦煤、潞安环能、中煤能源跟跌
中信证券	分众传媒	中信证券指出，分众传媒2021年上半年广告投放同比显著恢复，楼宇媒体收入持续改善，实现营收73.3亿元（YoY+58.9%），实现归母净利润29.0亿元（YoY+252.2%），对应归母净利率39.6%
海通证券	宁德时代	海通证券指出，受消息刺激，钠离子电池昨日走高，今日会出现分化，留意低吸；宁德时代半年报业绩不错，高瓴减持，高开低走，锂电板块可能会出现调整，调整之后还有机会，关注上游锂矿股
精功科技	大全能源	根据已公布的半年报、快报、预告数据，共有12股上半年净利润翻倍增长，分别是精功科技、大全能源、双...
金诚信	泛海控股	东方金诚信用评级委员会决定将泛海控股主体信用等级由A下...
云图控股	鲁北化工	磷化工板块午后持续拉升，川发龙蟒、湖北宜化涨停，云图控股、鲁北化工、天原股份等跟涨
中国铝业	江西铜业	港股有色金属板块开盘拉升，中国铝业涨6.6%，南方锰业涨超5%，中国有色矿业涨超4%，五矿资源、江西铜业股份涨超3%
山西焦化	永泰能源	煤炭概念持续拉升，华阳股份涨停，晋控煤业、山西焦化、永泰能源跟涨
桂林旅游	天目湖	景点及旅游板块异动拉升，长白山涨超8%，桂林旅游、天目湖、凯撒旅业跟涨
中金公司	宁德时代	中金公司点评宁德时代半年报指出，上半年，宁德时代锂电池产能/产量分别为65.45/60.34GWh，产能利用率达92.20%，接近满产状态
中信证券	紫光国微	中信证券指出，紫光国微上半年特种业务收入大幅增加，盈利能力快速提升
科蓝软件	华夏银行	科蓝软件：公司智能高柜机器人“小蓝”中标华夏银行高速高容现金设备采购项目
泰永长征	阳光城	目前，泰永长征充电桩已在全国多个城市落地使用，成功为阳光城、中骏、绿景、华强、花样年等提供产品与服务
中信建投	立讯精密	中信建投指出，立讯精密此前指引上半年实现归母净利润 29.18-32.99，实际上半年实现归母净利润30.9亿元，符合预期
天齐锂业	兴业银行	天齐锂业公告，控股股东天齐集团将其持有的1300万股公司股份（占公司总股本的0.88%）质押给兴业银行
中国平安	华夏幸福	中国平安：上半年对华夏幸福减值计提等调整金额为359亿元
亿纬锂能	连云港	亿纬锂能消息，近日，国内首艘海上纯电动拖轮——“云港电拖一号”在江苏连云港港口交付试运行
中国外运	中远海控	港股航运股持续走强，中国外运涨超10%，太平洋航运涨近5%，中远海控涨近2%
福莱特	洛阳玻璃	港股太阳能光伏股走强，顺风清洁能源涨超23%，福莱特玻璃涨超7%，洛阳玻璃股份涨超6%，信义玻璃涨超2%
芯海科技	诚迈科技	鸿蒙概念持续走弱，芯海科技跌超5%，梦网科技、诚迈科技、九联科技跟跌
兆新股份	赣锋锂业	盐湖提锂板块下挫，兆新股份跌超6%，赣锋锂业、科达制造、盐湖股份跟跌
中公教育	滨海能源	在线教育板块持续走高，开元教育、中公教育涨停，科德教育、滨海能源跟涨
中公教育	广弘控股	在线教育板块开盘拉升，中公教育涨超7%，科德教育、广弘控股、开元教育跟涨
中信建投	中环股份	中信建投指出，中环股份起步于半导体，上市之后将业务进一步延伸至光伏领域
安达维尔	捷成股份	24日军工板块集体回调，安达维尔、捷成股份等多只个股跌幅超过7%
